symbol,reason,origin_name,origin_index
GIFB,Just not found,GIFB,3279
G21,Just not found,G21,3281
PJAA,Just not found,PJAA,3283
CFU,Just not found,CFU,3285
JETS,Just not found,JETS,3286
J19,Just not found,J19,3287
274,Just not found,274,3320
CPAP,Just not found,CPAP,3354
3819,Just not found,3819,3364
3821,Just not found,3821,3366
7931,Just not found,7931,3369
WTFU,Just not found,WTFU,3390
JEDI,Just not found,JEDI,3397
87730,Just not found,87730,3402
DEHB,Just not found,DEHB,3403
92300,Just not found,92300,3408
97870,Just not found,97870,3409
6726,Just not found,6726,3410
CASG/C,Just not found,CASG/C,3418
CASAGR,Just not found,CASAGR,3421
6162,Just not found,6162,3430
3816,Just not found,3816,3431
2126,Just not found,2126,3441
JOIT,Just not found,JOIT,3444
MOJU,Just not found,MOJU,3446
URRM,Just not found,URRM,3447
urrm,Just not found,urrm,3448
IDSR,Just not found,IDSR,3450
46240,Just not found,46240,3467
82930,Just not found,82930,3470
BMREIT,Just not found,BMREIT,3473
6BMA,Just not found,6BMA,3475
HDPAT,Just not found,HDPAT,3476
PTMZ,Just not found,PTMZ,3479
4I8,Just not found,4I8,3483
HDIS,Just not found,HDIS,3492
PVD,Just not found,PVD,3493
ECL4,Just not found,ECL4,3495
APO2,Just not found,APO2,3519
SPCU,Just not found,SPCU,3521
SHMK,Just not found,SHMK,3525
8094,Just not found,8094,3529
APO1,Just not found,APO1,3533
DRUR,Just not found,DRUR,3538
68GY,Just not found,68GY,3547
36760,Just not found,36760,3551
DEPS,Just not found,DEPS,3553
PTLP,Just not found,PTLP,3560
95190,Just not found,95190,3563
32570,Just not found,32570,3599
ELYP,Just not found,ELYP,3607
KEYT,Just not found,KEYT,3614
KIV2,Just not found,KIV2,3616
STVP,Just not found,STVP,3620
AVDZ,Just not found,AVDZ,3624
avdz,Just not found,avdz,3625
JEIH,Just not found,JEIH,3626
KMOL,Just not found,KMOL,3675
96870,Just not found,96870,3676
D2K,Just not found,D2K,3679
12990,Just not found,12990,3681
2234,Just not found,2234,3691
KNST,Just not found,KNST,3704
SYTC,Just not found,SYTC,3714
78000,Just not found,78000,3729
E25,Just not found,E25,3748
4600,Just not found,4600,3753
46000,Just not found,46000,3754
8989,Just not found,8989,3797
5742,Just not found,5742,3798
3225,Just not found,3225,3800
3811,Just not found,3811,3801
3045,Just not found,3045,3802
8991,Just not found,8991,3803
NALDA,Just not found,NALDA,3808
OMND,Just not found,OMND,3810
BUCS,Just not found,BUCS,3811
ARIY,Just not found,ARIY,3812
5499,Just not found,5499,3816
2232,Just not found,2232,3818
COKDA,Just not found,COKDA,3822
GAGBT,Just not found,GAGBT,3840
4PX,Just not found,4PX,3842
PAPIR,Just not found,PAPIR,3843
GALPK,Just not found,GALPK,3844
UGOK,Just not found,UGOK,3847
ugok,Just not found,ugok,3848
6275,Just not found,6275,3849
5523,Just not found,5523,3853
TRTR,Just not found,TRTR,3862
60250,Just not found,60250,3883
8734,Just not found,8734,3892
3809,Just not found,3809,3898
7772,Just not found,7772,3901
8988,Just not found,8988,3902
MLMIL,Just not found,MLMIL,3904
ALLAR,Just not found,ALLAR,3905
EGTS,Just not found,EGTS,3907
